text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @option_snipper: $AAPL beat on both eps and revenues. SEES 4Q REV. $49B-$52B, EST. $49.1B https://t.co/hfHXqj0IOB",FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KnowledgeMC,3,TRUE,FALSE,NA,NA
"RT @option_snipper: $AAPL beat on both eps and revenues. SEES 4Q REV. $49B-$52B, EST. $49.1B https://t.co/hfHXqj0IOB",FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Migcortina,3,TRUE,FALSE,NA,NA
Let's see this break all timers. $AAPL 156.89,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",beckyhiu,0,FALSE,FALSE,NA,NA
RT @SylvaCap: Things might get ugly for $aapl with the iphone delay. With $aapl down that means almost all of the FANG stocks were down pos…,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MarveiTheBoxer,85,TRUE,FALSE,NA,NA
$AAPL - wow! This was supposed to be a throw-away quarter and AAPL beats by over 500 million in revenue! Trillion dollar company by 2018!,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",LU_Rambler12,0,FALSE,FALSE,NA,NA
RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LukeFenek,30,TRUE,FALSE,NA,NA
RT @CNBCnow: EARNINGS: Apple Q3 EPS $1.67 vs. $1.57 Est.; Q3 Revs. $45.4B vs. $44.89B Est. • $AAPL https://t.co/UzI8Uh9GJI https://t.co/WzX…,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",newlakeland,30,TRUE,FALSE,NA,NA
"RT @Selerity: #BREAKING: Apple $AAPL Q3 Earnings Per Share (EPS), $1.67 vs. $1.57 expected",FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",djflowmaster,9,TRUE,FALSE,NA,NA
"RT @Selerity: #BREAKING: Apple $AAPL Q3 Revenue, $45.41B vs. $44.9B expected",FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WillOKC98,10,TRUE,FALSE,NA,NA
RT @JackWangCFA: #Apple @apple $aapl #earnings #RealTime #BREAKING Rev $45.4B &amp; EPS of $1.67 vs #street #consensus #estimate $44.9B; EPS $1…,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KN2814,1,TRUE,FALSE,NA,NA
"RT @Selerity: #BREAKING: Apple $AAPL Q3 iPhone Shipments, 41.03M vs. 40.5M expected",FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",djflowmaster,8,TRUE,FALSE,NA,NA
$AAPL probably tanks tomorrow lol,FALSE,0,NA,01-08-2017 20:31,FALSE,NA,8.92483E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jwes115,0,FALSE,FALSE,NA,NA
